text,category,type,location,time,status
"Fight broke out at Whitefield, police required.",Crime,Emergency,Hebbal,2025-08-17 18:44:25,Acknowledged
Industrial smoke polluting air at Brigade Road.,Pollution,Non-Emergency,Electronic City,2025-08-02 05:17:25,Acknowledged
Emergency! Fire outbreak at MG Road.,Fire,Emergency,Electronic City,2025-08-19 18:37:25,New
"Road accident reported near BTM Layout, need ambulance.",Accident,Emergency,Hebbal,2025-08-05 03:27:25,Resolved
Waste blocking road at HSR Layout.,Garbage,Non-Emergency,Yeshwanthpur,2025-08-09 23:13:25,Acknowledged
Garbage not collected from Yeshwanthpur for 3 days.,Garbage,Non-Emergency,Hebbal,2025-08-18 12:52:25,Resolved
Overflowing trash bin near Yeshwanthpur.,Garbage,Non-Emergency,HSR Layout,2025-08-03 21:45:25,Resolved
Suspicious activity noticed at Hebbal.,Crime,Emergency,Hebbal,2025-08-22 16:06:25,Acknowledged
"Smoke rising near Indiranagar, seems like a fire incident.",Fire,Emergency,HSR Layout,2025-08-19 02:40:25,Resolved
Waste blocking road at Indiranagar.,Garbage,Non-Emergency,Koramangala,2025-08-12 01:43:25,Acknowledged
Robbery reported at Electronic City.,Crime,Emergency,Koramangala,2025-08-13 05:04:25,New
Heart attack case reported at Hebbal.,Medical,Emergency,HSR Layout,2025-08-27 09:17:25,Resolved
Medical emergency near BTM Layout.,Medical,Emergency,BTM Layout,2025-08-05 17:12:25,New
"Smoke rising near Koramangala, seems like a fire incident.",Fire,Emergency,Whitefield,2025-08-07 11:27:25,Resolved
"Car crash at Hebbal, traffic blocked.",Accident,Emergency,Brigade Road,2025-07-30 22:14:25,Resolved
Accident causing traffic delays on Electronic City.,Traffic,Non-Emergency,Koramangala,2025-08-14 23:25:25,Acknowledged
"Garbage dumped at Indiranagar, smells bad.",Garbage,Non-Emergency,Hebbal,2025-08-20 08:07:25,Acknowledged
Waste blocking road at HSR Layout.,Garbage,Non-Emergency,BTM Layout,2025-08-03 05:40:25,Acknowledged
"Bike accident occurred at Electronic City, police required.",Accident,Emergency,BTM Layout,2025-08-11 20:05:25,New
"Murder reported near MG Road, urgent action needed.",Crime,Emergency,BTM Layout,2025-08-17 08:40:25,Acknowledged
Robbery reported at Koramangala.,Crime,Emergency,Indiranagar,2025-08-07 10:53:25,Resolved
"Smoke rising near Koramangala, seems like a fire incident.",Fire,Emergency,Koramangala,2025-08-22 19:57:25,Resolved
Traffic congestion reported at Brigade Road.,Traffic,Non-Emergency,Hebbal,2025-08-27 19:32:25,Resolved
"Murder reported near Indiranagar, urgent action needed.",Crime,Emergency,Koramangala,2025-08-08 11:00:25,Resolved
Medical emergency near MG Road.,Medical,Emergency,Whitefield,2025-08-18 22:15:25,Acknowledged
Heart attack case reported at Whitefield.,Medical,Emergency,Indiranagar,2025-08-06 13:20:25,Acknowledged
Robbery reported at Electronic City.,Crime,Emergency,Brigade Road,2025-08-15 22:51:25,New
Road at Indiranagar has multiple potholes.,Potholes,Non-Emergency,Whitefield,2025-08-04 19:43:25,Acknowledged
Road at HSR Layout has multiple potholes.,Potholes,Non-Emergency,Hebbal,2025-08-22 05:50:25,Resolved
Robbery reported at Koramangala.,Crime,Emergency,MG Road,2025-08-07 14:11:25,Acknowledged
Air pollution level rising around Whitefield.,Pollution,Non-Emergency,Brigade Road,2025-08-10 19:31:25,Resolved
Road at BTM Layout has multiple potholes.,Potholes,Non-Emergency,Whitefield,2025-08-17 08:30:25,Acknowledged
Plastic waste causing pollution at Whitefield.,Pollution,Non-Emergency,Koramangala,2025-08-04 00:59:25,Acknowledged
Robbery reported at Yeshwanthpur.,Crime,Emergency,Koramangala,2025-08-01 12:09:25,Resolved
Industrial smoke polluting air at HSR Layout.,Pollution,Non-Emergency,Electronic City,2025-08-07 20:25:25,Acknowledged
Pothole causing accidents near Yeshwanthpur.,Potholes,Non-Emergency,Whitefield,2025-08-06 05:12:25,Resolved
Garbage not collected from Koramangala for 3 days.,Garbage,Non-Emergency,BTM Layout,2025-08-22 09:48:25,New
"Person fainted at Whitefield, need medical help.",Medical,Emergency,MG Road,2025-08-03 05:04:25,Resolved
Building caught fire at Koramangala.,Fire,Emergency,MG Road,2025-08-22 06:05:25,Acknowledged
Heavy traffic jam at MG Road.,Traffic,Non-Emergency,Koramangala,2025-08-23 12:11:25,New
Plastic waste causing pollution at Yeshwanthpur.,Pollution,Non-Emergency,Koramangala,2025-08-17 12:48:25,New
"Smoke rising near Yeshwanthpur, seems like a fire incident.",Fire,Emergency,Brigade Road,2025-08-19 10:36:25,Acknowledged
"Smoke rising near Hebbal, seems like a fire incident.",Fire,Emergency,Yeshwanthpur,2025-08-08 05:56:25,Resolved
Overflowing trash bin near Koramangala.,Garbage,Non-Emergency,Indiranagar,2025-08-27 13:03:25,Resolved
Accident causing traffic delays on Yeshwanthpur.,Traffic,Non-Emergency,Electronic City,2025-08-28 05:49:25,Acknowledged
"Bike accident occurred at Hebbal, police required.",Accident,Emergency,Electronic City,2025-08-01 07:00:25,New
Suspicious activity noticed at Electronic City.,Crime,Emergency,HSR Layout,2025-08-05 10:15:25,New
"Garbage dumped at Hebbal, smells bad.",Garbage,Non-Emergency,Brigade Road,2025-08-19 07:07:25,Acknowledged
Garbage not collected from Whitefield for 3 days.,Garbage,Non-Emergency,Koramangala,2025-08-12 01:43:25,New
Road at Brigade Road has multiple potholes.,Potholes,Non-Emergency,Whitefield,2025-08-17 07:56:25,Acknowledged
Dangerous pothole reported at Koramangala.,Potholes,Non-Emergency,MG Road,2025-08-01 14:29:25,Resolved
Medical emergency near Electronic City.,Medical,Emergency,Brigade Road,2025-08-17 02:05:25,Resolved
Pothole causing accidents near Electronic City.,Potholes,Non-Emergency,Whitefield,2025-07-31 22:46:25,New
"Garbage dumped at Yeshwanthpur, smells bad.",Garbage,Non-Emergency,MG Road,2025-08-21 13:38:25,Acknowledged
Traffic congestion reported at Brigade Road.,Traffic,Non-Emergency,Whitefield,2025-08-10 00:06:25,New
Industrial smoke polluting air at Whitefield.,Pollution,Non-Emergency,Electronic City,2025-08-20 22:38:25,Resolved
"Bike accident occurred at Yeshwanthpur, police required.",Accident,Emergency,BTM Layout,2025-08-14 13:12:25,Resolved
"Smoke rising near Hebbal, seems like a fire incident.",Fire,Emergency,BTM Layout,2025-08-22 16:44:25,Resolved
Huge fire reported at MG Road.,Fire,Emergency,HSR Layout,2025-08-26 15:06:25,Resolved
Traffic congestion reported at Yeshwanthpur.,Traffic,Non-Emergency,BTM Layout,2025-08-20 14:28:25,Resolved
"Person fainted at Whitefield, need medical help.",Medical,Emergency,Indiranagar,2025-07-29 07:45:25,Resolved
Medical emergency near Electronic City.,Medical,Emergency,MG Road,2025-08-04 21:02:25,Resolved
Water pollution noticed near Koramangala.,Pollution,Non-Emergency,Indiranagar,2025-08-03 11:18:25,Resolved
Pothole causing accidents near Electronic City.,Potholes,Non-Emergency,BTM Layout,2025-08-05 05:24:25,New
Huge fire reported at Electronic City.,Fire,Emergency,Yeshwanthpur,2025-08-27 06:15:25,Acknowledged
Water pollution noticed near BTM Layout.,Pollution,Non-Emergency,MG Road,2025-08-03 23:46:25,Acknowledged
"Huge pothole on Electronic City, risky for bikers.",Potholes,Non-Emergency,Indiranagar,2025-07-30 23:55:25,Acknowledged
Air pollution level rising around BTM Layout.,Pollution,Non-Emergency,Yeshwanthpur,2025-08-05 19:20:25,New
Accident causing traffic delays on HSR Layout.,Traffic,Non-Emergency,Brigade Road,2025-08-12 22:59:25,Resolved
"Road blocked near Hebbal, vehicles moving slowly.",Traffic,Non-Emergency,Brigade Road,2025-08-24 18:23:25,Resolved
Overflowing trash bin near Brigade Road.,Garbage,Non-Emergency,BTM Layout,2025-08-13 05:58:25,Resolved
"Car crash at Brigade Road, traffic blocked.",Accident,Emergency,Indiranagar,2025-08-24 06:22:25,New
Medical emergency near Yeshwanthpur.,Medical,Emergency,Hebbal,2025-08-11 11:20:25,New
Medical emergency near HSR Layout.,Medical,Emergency,Brigade Road,2025-08-23 08:12:25,Acknowledged
Air pollution level rising around Hebbal.,Pollution,Non-Emergency,MG Road,2025-08-12 17:13:25,Resolved
Suspicious activity noticed at MG Road.,Crime,Emergency,MG Road,2025-08-05 09:49:25,Resolved
"Car crash at MG Road, traffic blocked.",Accident,Emergency,Hebbal,2025-08-04 12:52:25,Acknowledged
Air pollution level rising around MG Road.,Pollution,Non-Emergency,Indiranagar,2025-08-05 05:07:25,New
"Major accident on Hebbal, multiple vehicles involved.",Accident,Emergency,Brigade Road,2025-08-09 04:30:25,New
"Smoke rising near MG Road, seems like a fire incident.",Fire,Emergency,Yeshwanthpur,2025-08-11 14:38:25,New
Suspicious activity noticed at Yeshwanthpur.,Crime,Emergency,Electronic City,2025-08-19 12:05:25,New
Water pollution noticed near Whitefield.,Pollution,Non-Emergency,Indiranagar,2025-08-02 15:44:25,Resolved
"Bike accident occurred at MG Road, police required.",Accident,Emergency,Whitefield,2025-08-28 13:56:25,Acknowledged
Traffic congestion reported at Whitefield.,Traffic,Non-Emergency,MG Road,2025-08-05 23:04:25,Acknowledged
"Major accident on Whitefield, multiple vehicles involved.",Accident,Emergency,Hebbal,2025-07-31 17:53:25,New
Road at MG Road has multiple potholes.,Potholes,Non-Emergency,HSR Layout,2025-08-06 06:49:25,Acknowledged
"Injury reported at Indiranagar, need hospital support.",Medical,Emergency,Hebbal,2025-08-08 19:07:25,New
Robbery reported at HSR Layout.,Crime,Emergency,Indiranagar,2025-08-05 07:39:25,Resolved
Pothole causing accidents near Koramangala.,Potholes,Non-Emergency,BTM Layout,2025-08-12 11:43:25,Acknowledged
"Fight broke out at Hebbal, police required.",Crime,Emergency,Yeshwanthpur,2025-08-25 18:03:25,Acknowledged
Emergency! Fire outbreak at BTM Layout.,Fire,Emergency,Brigade Road,2025-08-24 13:25:25,Resolved
Air pollution level rising around Whitefield.,Pollution,Non-Emergency,Koramangala,2025-08-17 07:19:25,Acknowledged
"Smoke rising near Yeshwanthpur, seems like a fire incident.",Fire,Emergency,Electronic City,2025-08-12 18:51:25,Acknowledged
"Smoke rising near Brigade Road, seems like a fire incident.",Fire,Emergency,Indiranagar,2025-08-26 11:18:25,Acknowledged
Dangerous pothole reported at Brigade Road.,Potholes,Non-Emergency,Electronic City,2025-08-11 04:27:25,Acknowledged
Air pollution level rising around Hebbal.,Pollution,Non-Emergency,Indiranagar,2025-08-06 08:02:25,Acknowledged
Water pollution noticed near Yeshwanthpur.,Pollution,Non-Emergency,BTM Layout,2025-08-17 12:37:25,Resolved
Emergency! Fire outbreak at Koramangala.,Fire,Emergency,Hebbal,2025-08-06 14:22:25,Resolved
Road at Koramangala has multiple potholes.,Potholes,Non-Emergency,Indiranagar,2025-08-01 09:17:25,Resolved
Traffic congestion reported at MG Road.,Traffic,Non-Emergency,Indiranagar,2025-08-23 22:13:25,Acknowledged
"Smoke rising near Indiranagar, seems like a fire incident.",Fire,Emergency,Yeshwanthpur,2025-08-08 10:14:25,Resolved
Water pollution noticed near Koramangala.,Pollution,Non-Emergency,MG Road,2025-08-23 23:12:25,Resolved
Heavy traffic jam at HSR Layout.,Traffic,Non-Emergency,HSR Layout,2025-07-28 17:42:25,New
Huge fire reported at HSR Layout.,Fire,Emergency,BTM Layout,2025-08-07 12:12:25,New
Emergency! Fire outbreak at Hebbal.,Fire,Emergency,MG Road,2025-08-16 22:55:25,Resolved
Robbery reported at Koramangala.,Crime,Emergency,Koramangala,2025-08-24 23:57:25,Resolved
Plastic waste causing pollution at Koramangala.,Pollution,Non-Emergency,Koramangala,2025-07-31 09:17:25,New
Water pollution noticed near MG Road.,Pollution,Non-Emergency,Indiranagar,2025-08-16 04:15:25,Resolved
Robbery reported at Brigade Road.,Crime,Emergency,MG Road,2025-08-05 21:53:25,Resolved
Accident causing traffic delays on Hebbal.,Traffic,Non-Emergency,HSR Layout,2025-08-08 00:39:25,New
"Bike accident occurred at Hebbal, police required.",Accident,Emergency,BTM Layout,2025-08-16 06:50:25,Acknowledged
Road at BTM Layout has multiple potholes.,Potholes,Non-Emergency,Yeshwanthpur,2025-08-12 11:41:25,Acknowledged
"Person fainted at Yeshwanthpur, need medical help.",Medical,Emergency,Whitefield,2025-07-29 07:15:25,Resolved
Traffic congestion reported at Whitefield.,Traffic,Non-Emergency,Hebbal,2025-08-21 19:20:25,Acknowledged
"Car crash at BTM Layout, traffic blocked.",Accident,Emergency,Whitefield,2025-08-10 14:24:25,Resolved
"Huge pothole on Indiranagar, risky for bikers.",Potholes,Non-Emergency,HSR Layout,2025-08-10 02:26:25,Resolved
Road at Yeshwanthpur has multiple potholes.,Potholes,Non-Emergency,Hebbal,2025-08-03 03:14:25,Resolved
"Injury reported at MG Road, need hospital support.",Medical,Emergency,Indiranagar,2025-08-23 15:18:25,Resolved
"Road accident reported near Koramangala, need ambulance.",Accident,Emergency,Whitefield,2025-08-25 12:22:25,Resolved
Water pollution noticed near Hebbal.,Pollution,Non-Emergency,BTM Layout,2025-08-10 12:37:25,Acknowledged
Waste blocking road at Brigade Road.,Garbage,Non-Emergency,MG Road,2025-08-17 13:15:25,Acknowledged
Huge fire reported at Brigade Road.,Fire,Emergency,Koramangala,2025-08-05 04:40:25,Acknowledged
Industrial smoke polluting air at Koramangala.,Pollution,Non-Emergency,HSR Layout,2025-07-31 00:17:25,New
Heavy traffic jam at HSR Layout.,Traffic,Non-Emergency,Indiranagar,2025-07-29 18:49:25,Acknowledged
"Road accident reported near HSR Layout, need ambulance.",Accident,Emergency,Yeshwanthpur,2025-08-01 12:38:25,Resolved
"Murder reported near Indiranagar, urgent action needed.",Crime,Emergency,Koramangala,2025-08-12 02:08:25,New
Industrial smoke polluting air at Electronic City.,Pollution,Non-Emergency,Yeshwanthpur,2025-07-29 20:06:25,New
Air pollution level rising around MG Road.,Pollution,Non-Emergency,Electronic City,2025-08-21 22:48:25,Resolved
"Injury reported at Whitefield, need hospital support.",Medical,Emergency,MG Road,2025-08-15 15:17:25,Resolved
Robbery reported at Yeshwanthpur.,Crime,Emergency,Brigade Road,2025-08-16 09:22:25,Resolved
Heart attack case reported at Brigade Road.,Medical,Emergency,Electronic City,2025-08-02 03:35:25,Acknowledged
Dangerous pothole reported at Brigade Road.,Potholes,Non-Emergency,Brigade Road,2025-08-15 12:01:25,New
Road at HSR Layout has multiple potholes.,Potholes,Non-Emergency,Yeshwanthpur,2025-08-17 01:37:25,New
"Road accident reported near Hebbal, need ambulance.",Accident,Emergency,Whitefield,2025-08-18 15:05:25,Acknowledged
Building caught fire at Hebbal.,Fire,Emergency,BTM Layout,2025-08-25 10:49:25,Acknowledged
"Fight broke out at BTM Layout, police required.",Crime,Emergency,Yeshwanthpur,2025-08-19 23:10:25,Acknowledged
"Smoke rising near Electronic City, seems like a fire incident.",Fire,Emergency,HSR Layout,2025-08-04 23:43:25,Resolved
"Car crash at Whitefield, traffic blocked.",Accident,Emergency,Brigade Road,2025-08-03 13:35:25,Resolved
Heart attack case reported at Indiranagar.,Medical,Emergency,Indiranagar,2025-08-06 16:05:25,Acknowledged
"Road accident reported near Whitefield, need ambulance.",Accident,Emergency,Yeshwanthpur,2025-08-27 15:14:25,Resolved
Heart attack case reported at Yeshwanthpur.,Medical,Emergency,HSR Layout,2025-08-27 00:14:25,Resolved
Waste blocking road at Indiranagar.,Garbage,Non-Emergency,HSR Layout,2025-08-18 12:38:25,Acknowledged
Medical emergency near Koramangala.,Medical,Emergency,Hebbal,2025-08-18 23:29:25,New
"Smoke rising near Brigade Road, seems like a fire incident.",Fire,Emergency,MG Road,2025-08-17 15:15:25,Acknowledged
"Person fainted at Indiranagar, need medical help.",Medical,Emergency,HSR Layout,2025-08-06 09:02:25,New
"Road accident reported near Yeshwanthpur, need ambulance.",Accident,Emergency,Yeshwanthpur,2025-08-06 12:57:25,Resolved
Waste blocking road at Koramangala.,Garbage,Non-Emergency,HSR Layout,2025-08-15 11:16:25,Resolved
"Major accident on Electronic City, multiple vehicles involved.",Accident,Emergency,Yeshwanthpur,2025-08-21 15:58:25,Acknowledged
"Major accident on HSR Layout, multiple vehicles involved.",Accident,Emergency,Brigade Road,2025-08-26 04:02:25,Acknowledged
Pothole causing accidents near Yeshwanthpur.,Potholes,Non-Emergency,Whitefield,2025-08-07 18:04:25,Acknowledged
Building caught fire at MG Road.,Fire,Emergency,Indiranagar,2025-07-30 04:23:25,Acknowledged
Plastic waste causing pollution at Brigade Road.,Pollution,Non-Emergency,MG Road,2025-08-25 15:10:25,Acknowledged
Pothole causing accidents near Whitefield.,Potholes,Non-Emergency,BTM Layout,2025-08-19 21:18:25,New
Suspicious activity noticed at Koramangala.,Crime,Emergency,Koramangala,2025-08-20 10:42:25,New
"Smoke rising near Koramangala, seems like a fire incident.",Fire,Emergency,Indiranagar,2025-08-07 03:18:25,Resolved
Traffic congestion reported at Whitefield.,Traffic,Non-Emergency,Koramangala,2025-08-10 01:15:25,Acknowledged
Heavy traffic jam at BTM Layout.,Traffic,Non-Emergency,Koramangala,2025-07-28 22:50:25,Acknowledged
Heart attack case reported at Indiranagar.,Medical,Emergency,Hebbal,2025-08-07 13:12:25,New
"Person fainted at Electronic City, need medical help.",Medical,Emergency,HSR Layout,2025-08-09 20:57:25,Acknowledged
"Injury reported at Brigade Road, need hospital support.",Medical,Emergency,BTM Layout,2025-08-18 17:00:25,Acknowledged
Emergency! Fire outbreak at Electronic City.,Fire,Emergency,Indiranagar,2025-08-06 15:26:25,New
Building caught fire at BTM Layout.,Fire,Emergency,Electronic City,2025-08-12 23:12:25,Acknowledged
"Injury reported at Whitefield, need hospital support.",Medical,Emergency,MG Road,2025-07-31 17:18:25,New
"Garbage dumped at Whitefield, smells bad.",Garbage,Non-Emergency,Yeshwanthpur,2025-08-05 16:02:25,Resolved
"Murder reported near MG Road, urgent action needed.",Crime,Emergency,Whitefield,2025-08-09 18:42:25,Resolved
Air pollution level rising around Electronic City.,Pollution,Non-Emergency,BTM Layout,2025-08-01 05:46:25,New
"Road accident reported near HSR Layout, need ambulance.",Accident,Emergency,HSR Layout,2025-07-30 08:13:25,Acknowledged
Industrial smoke polluting air at MG Road.,Pollution,Non-Emergency,Brigade Road,2025-08-03 05:40:25,Acknowledged
Overflowing trash bin near Koramangala.,Garbage,Non-Emergency,Hebbal,2025-08-24 21:08:25,Resolved
"Bike accident occurred at Whitefield, police required.",Accident,Emergency,Whitefield,2025-08-14 04:12:25,Acknowledged
Heart attack case reported at Koramangala.,Medical,Emergency,MG Road,2025-08-20 18:50:25,Resolved
Heart attack case reported at Indiranagar.,Medical,Emergency,Brigade Road,2025-08-06 18:01:25,New
Building caught fire at BTM Layout.,Fire,Emergency,Indiranagar,2025-08-08 00:01:25,Resolved
Robbery reported at Indiranagar.,Crime,Emergency,MG Road,2025-08-14 07:35:25,New
Medical emergency near HSR Layout.,Medical,Emergency,HSR Layout,2025-08-09 07:34:25,Acknowledged
Traffic congestion reported at Brigade Road.,Traffic,Non-Emergency,BTM Layout,2025-07-28 16:56:25,New
Heavy traffic jam at MG Road.,Traffic,Non-Emergency,Koramangala,2025-08-22 00:46:25,Acknowledged
Dangerous pothole reported at BTM Layout.,Potholes,Non-Emergency,Yeshwanthpur,2025-08-26 05:55:25,Resolved
Road at Koramangala has multiple potholes.,Potholes,Non-Emergency,BTM Layout,2025-08-20 11:27:25,Resolved
Heart attack case reported at Koramangala.,Medical,Emergency,Hebbal,2025-08-08 01:22:25,Acknowledged
"Road accident reported near BTM Layout, need ambulance.",Accident,Emergency,Electronic City,2025-08-12 07:25:25,Acknowledged
Road at Hebbal has multiple potholes.,Potholes,Non-Emergency,Hebbal,2025-08-11 22:56:25,Acknowledged
Road at Brigade Road has multiple potholes.,Potholes,Non-Emergency,Hebbal,2025-07-30 01:11:25,New
Road at Hebbal has multiple potholes.,Potholes,Non-Emergency,Yeshwanthpur,2025-08-22 19:33:25,Resolved
Industrial smoke polluting air at Hebbal.,Pollution,Non-Emergency,BTM Layout,2025-08-21 02:25:25,New
Suspicious activity noticed at Whitefield.,Crime,Emergency,HSR Layout,2025-08-27 22:37:25,Resolved
Overflowing trash bin near Indiranagar.,Garbage,Non-Emergency,Koramangala,2025-07-31 18:16:25,New
Road at Hebbal has multiple potholes.,Potholes,Non-Emergency,MG Road,2025-08-22 23:13:25,Acknowledged
"Garbage dumped at BTM Layout, smells bad.",Garbage,Non-Emergency,BTM Layout,2025-08-22 21:55:25,Acknowledged
Road at MG Road has multiple potholes.,Potholes,Non-Emergency,Yeshwanthpur,2025-08-06 13:38:25,Resolved
Water pollution noticed near Electronic City.,Pollution,Non-Emergency,Electronic City,2025-08-02 20:50:25,Acknowledged
"Major accident on Koramangala, multiple vehicles involved.",Accident,Emergency,Koramangala,2025-08-28 05:30:25,Acknowledged
Water pollution noticed near Yeshwanthpur.,Pollution,Non-Emergency,Brigade Road,2025-08-28 04:02:25,New
"Major accident on HSR Layout, multiple vehicles involved.",Accident,Emergency,HSR Layout,2025-08-11 12:27:25,Acknowledged
Road at Hebbal has multiple potholes.,Potholes,Non-Emergency,HSR Layout,2025-08-07 02:06:25,Resolved
Dangerous pothole reported at Indiranagar.,Potholes,Non-Emergency,Brigade Road,2025-08-11 05:31:25,Acknowledged
"Car crash at Yeshwanthpur, traffic blocked.",Accident,Emergency,BTM Layout,2025-08-24 15:17:25,Resolved
Building caught fire at Koramangala.,Fire,Emergency,Whitefield,2025-08-24 16:59:25,Acknowledged
"Road accident reported near Koramangala, need ambulance.",Accident,Emergency,BTM Layout,2025-08-09 22:12:25,New
Emergency! Fire outbreak at Indiranagar.,Fire,Emergency,HSR Layout,2025-08-14 14:28:25,New
"Garbage dumped at Electronic City, smells bad.",Garbage,Non-Emergency,Whitefield,2025-08-09 20:22:25,Acknowledged
"Injury reported at HSR Layout, need hospital support.",Medical,Emergency,Yeshwanthpur,2025-08-13 19:05:25,New
Traffic congestion reported at Electronic City.,Traffic,Non-Emergency,HSR Layout,2025-08-12 00:28:25,Resolved
"Smoke rising near HSR Layout, seems like a fire incident.",Fire,Emergency,HSR Layout,2025-07-30 08:14:25,Resolved
Plastic waste causing pollution at Hebbal.,Pollution,Non-Emergency,Indiranagar,2025-07-29 11:12:25,Resolved
Pothole causing accidents near Koramangala.,Potholes,Non-Emergency,BTM Layout,2025-08-23 23:49:25,Resolved
"Bike accident occurred at Brigade Road, police required.",Accident,Emergency,Koramangala,2025-07-29 04:46:25,New
Waste blocking road at Electronic City.,Garbage,Non-Emergency,Koramangala,2025-08-03 00:36:25,New
"Huge pothole on Indiranagar, risky for bikers.",Potholes,Non-Emergency,Whitefield,2025-08-23 14:37:25,Acknowledged
Suspicious activity noticed at Electronic City.,Crime,Emergency,HSR Layout,2025-07-30 22:23:25,Acknowledged
Building caught fire at Hebbal.,Fire,Emergency,Indiranagar,2025-08-05 00:46:25,Resolved
"Person fainted at Brigade Road, need medical help.",Medical,Emergency,HSR Layout,2025-08-23 21:03:25,Acknowledged
Robbery reported at Yeshwanthpur.,Crime,Emergency,BTM Layout,2025-08-01 03:07:25,Acknowledged
"Road accident reported near Brigade Road, need ambulance.",Accident,Emergency,Whitefield,2025-08-01 23:52:25,Resolved
Plastic waste causing pollution at Yeshwanthpur.,Pollution,Non-Emergency,Hebbal,2025-08-22 12:17:25,New
Pothole causing accidents near Yeshwanthpur.,Potholes,Non-Emergency,Indiranagar,2025-08-04 01:34:25,Resolved
"Garbage dumped at Koramangala, smells bad.",Garbage,Non-Emergency,Koramangala,2025-08-17 12:26:25,Resolved
Pothole causing accidents near Hebbal.,Potholes,Non-Emergency,Whitefield,2025-07-30 13:27:25,New
"Garbage dumped at Koramangala, smells bad.",Garbage,Non-Emergency,HSR Layout,2025-08-08 21:08:25,Resolved
Garbage not collected from Yeshwanthpur for 3 days.,Garbage,Non-Emergency,Brigade Road,2025-08-25 12:27:25,Resolved
Garbage not collected from Hebbal for 3 days.,Garbage,Non-Emergency,MG Road,2025-07-29 10:55:25,Acknowledged
Building caught fire at Whitefield.,Fire,Emergency,Hebbal,2025-08-08 21:19:25,New
Plastic waste causing pollution at Whitefield.,Pollution,Non-Emergency,MG Road,2025-08-06 18:09:25,Resolved
"Injury reported at Koramangala, need hospital support.",Medical,Emergency,HSR Layout,2025-08-13 02:54:25,Acknowledged
Suspicious activity noticed at MG Road.,Crime,Emergency,Yeshwanthpur,2025-07-30 04:45:25,Resolved
Garbage not collected from Whitefield for 3 days.,Garbage,Non-Emergency,Brigade Road,2025-08-17 21:47:25,Resolved
"Car crash at Brigade Road, traffic blocked.",Accident,Emergency,BTM Layout,2025-08-14 20:11:25,Resolved
"Road accident reported near Electronic City, need ambulance.",Accident,Emergency,Hebbal,2025-08-19 05:30:25,New
"Road blocked near BTM Layout, vehicles moving slowly.",Traffic,Non-Emergency,Electronic City,2025-08-17 00:14:25,Resolved
Accident causing traffic delays on Electronic City.,Traffic,Non-Emergency,Koramangala,2025-08-01 04:23:25,Acknowledged
"Huge pothole on Koramangala, risky for bikers.",Potholes,Non-Emergency,Yeshwanthpur,2025-08-18 15:04:25,New
"Huge pothole on Hebbal, risky for bikers.",Potholes,Non-Emergency,Hebbal,2025-08-16 17:29:25,Acknowledged
"Huge pothole on Brigade Road, risky for bikers.",Potholes,Non-Emergency,Indiranagar,2025-08-27 18:23:25,New
Overflowing trash bin near Koramangala.,Garbage,Non-Emergency,Yeshwanthpur,2025-08-19 09:05:25,New
"Road accident reported near Electronic City, need ambulance.",Accident,Emergency,Hebbal,2025-08-18 00:51:25,New
